horizon_h,val_MAE,val_RMSE,val_MAPE,test_MAE,test_RMSE,test_MAPE
1,1439.6726750246578,1796.2119019432914,2.674025542645355,3202.5989356824534,3587.0535395318448,5.630208454091866
2,1474.0427111453146,1839.2162977206738,2.762420393231867,3356.924780215743,3741.4422513410154,5.94634661741631
3,1500.1358596470898,1888.5068946911072,2.83358615814251,3370.3503437717686,3762.2132910847895,6.023049533861323
4,1512.3488739675322,1924.9746784095344,2.856974147580218,3297.33283325869,3714.0925283074257,5.907948340608943
5,1534.8963405798693,1983.57099647351,2.90193363922075,3215.924081677935,3659.2239006152586,5.769521490171256
6,1552.3251894740933,2044.4071583172736,2.9222404672870668,3206.8763206110493,3673.1599175617603,5.745258351967944
7,1614.833325818353,2157.992001195814,3.0322703510762543,3201.410670944407,3706.620652104638,5.730133799776039
8,1649.925157502869,2219.3904416605046,3.090595532547376,3214.803502980322,3738.7375954759145,5.742517149951097
9,1707.6599604282057,2314.615923460259,3.186461002479867,3218.9848193448756,3773.171795604811,5.7329264002633336
10,1724.391500431097,2360.972183409653,3.216542931164802,3182.0501240565422,3739.0434634737235,5.662408855655528
11,1772.5171455167263,2423.9621178777484,3.3058457903188265,3185.6048452126097,3766.3044236567025,5.653196303069662
12,1799.1259490812038,2461.858515160071,3.3461894507239007,3112.316915598997,3722.8078807352495,5.492336018426288
13,1850.0752884971603,2524.30556410838,3.4369518788179536,3138.0678349778946,3777.5871859256345,5.524497575918005
14,1888.4492337645097,2563.517790965014,3.506645802114156,3143.574203596947,3813.2456873521414,5.517009160815526
15,1967.3916466989936,2638.9819961974085,3.6432095426755344,3295.185352701443,3978.400844459417,5.780547088595835
16,2007.2230342612092,2682.777569285276,3.7243970724613265,3319.110324301443,4018.8597712875007,5.821955426484027
17,1975.4152658633413,2652.3343998892356,3.682510418125915,3275.626815989128,3973.2804453993735,5.753000534473262
18,2027.2851535354273,2706.7310513975726,3.770518361901863,3365.880537478934,4073.2648045945643,5.902079344585305
19,2034.843095959255,2720.184418591266,3.7985488907484086,3363.389165965082,4079.7417453225844,5.905182448645699
20,2051.1940090873704,2730.560929015054,3.8415940219711406,3406.543786044621,4115.939540645694,6.001447120337689
21,2081.6132612010565,2766.432671965855,3.9033113020403882,3453.624640130253,4161.354729522612,6.082553331044354
22,2122.396986688844,2808.800188156782,3.9861666475154522,3502.259657876457,4208.812643818194,6.162377950068153
23,2169.216697935406,2866.965595166966,4.071833194557085,3544.2266727918163,4271.871739389392,6.1999874865722155
24,2236.4045724323073,2930.2891741751037,4.176683841529276,3660.428009059927,4398.170356642423,6.380459579768886
25,2281.2863102180972,2970.920844815311,4.257142903050353,3783.1619192654716,4540.774403796328,6.59755268342429
26,2329.259609282402,3042.148561325968,4.362976428611696,3956.147090618984,4737.413363042541,6.9311221399227785
27,2373.3291414772416,3106.22911322998,4.450548437662725,4009.017963037372,4821.4718983464245,7.0515589464251
28,2394.959223887494,3141.945865342629,4.490112450803238,3954.6498247813897,4800.091664399921,6.966858127459028
29,2440.9129123058888,3209.7864531134023,4.555741114692924,3919.058497141581,4818.669785110622,6.87622215438331
30,2432.736729946053,3226.6511532310765,4.530623802612,3775.476367425819,4697.205612979055,6.632276084015565
31,2498.100139559584,3310.3806551773378,4.647634690699626,3774.617467696413,4728.573867145273,6.62678505022321
32,2535.5778083915225,3358.5022817753165,4.711549060901738,3760.469183409633,4728.956846158701,6.5983656135747815
33,2575.271621032585,3406.3991868948374,4.779080918513177,3748.8326675522967,4711.753245239452,6.567351705491029
34,2620.667067925167,3467.030363682106,4.853810747770284,3719.690099460144,4705.69838848947,6.501959717158366
35,2645.093447694193,3488.3296054116486,4.896240721522782,3722.1821321498505,4709.507932976117,6.497181232096054
36,2663.3890421482474,3503.7105610036806,4.925683698885576,3697.6644569039368,4682.186059874737,6.443624017427889
37,2697.6538432738703,3532.473464844618,4.997175551876573,3666.7450542116817,4683.293648328511,6.372335079869049
38,2754.26102687726,3586.2012118366174,5.101589339373783,3746.769063925,4781.304731587454,6.508586693625676
39,2806.836700292828,3647.6660342485525,5.193553170883957,3816.1469254136227,4864.329503457191,6.6287858880852895
40,2786.5220055661853,3615.225395184234,5.159572040094127,3780.344901321353,4832.830565729509,6.561346448899406
41,2787.0050298969454,3613.5943496378086,5.167143815042524,3774.9244755396417,4839.929293859791,6.55235063768501
42,2806.8162855802047,3631.677690722773,5.198619402474068,3872.7046742643556,4942.615993013339,6.7184755578945765
43,2821.1956665891994,3645.057990657173,5.227408367813351,3869.723743049659,4929.837857396897,6.724399090280341
44,2834.3574289162743,3659.381454714322,5.253576117960856,3873.0005415382584,4932.393601212272,6.745656626448013
45,2853.234225240083,3665.704482762041,5.303990473993302,3882.784960092068,4940.34868730355,6.7632412653858225
46,2862.3161363061613,3678.0603569403206,5.330281484086134,3838.3936744357748,4913.770636749302,6.6744813071594615
47,2886.2914819097646,3702.797492095805,5.370962922871331,3823.400599327758,4895.64516616784,6.626823655786225
48,2917.093961359437,3736.7642440831346,5.414653569769071,3893.9693798194653,4980.2277816802025,6.715262256603712
49,2939.338581144115,3766.147201369095,5.446999992283852,4111.720191123305,5200.648336161854,7.085914598293306
50,2938.4576463937924,3785.4130889080247,5.45382648944375,4252.91787700479,5370.502394220579,7.332878371210966
51,2978.1696795499624,3857.9368864573685,5.527118415480136,4321.134893412715,5482.60034078575,7.473347794824585
52,3018.892725315168,3911.299699958074,5.597171734487857,4337.7668270509275,5507.365150689329,7.529667189256724
53,2998.7769387950116,3882.422999762853,5.557537397309907,4164.896388730616,5358.099748255805,7.2145274816739695
54,3023.588773773331,3923.1043037605555,5.590341652864001,4093.0817468067585,5306.925162990246,7.090057892164295
55,3046.020064317923,3936.016156630067,5.6365014153948945,4097.704512623771,5301.239652692686,7.124446702186349
56,3092.469823862587,3997.1975132828884,5.71664874538776,4110.478247187127,5328.589108891468,7.1415893126501775
57,3121.3034632917133,4031.772282042726,5.767455420653825,4102.674333701594,5332.422977496889,7.12524772734241
58,3148.374554443599,4055.0757067113855,5.824362541411202,4075.5362891471977,5290.363508264672,7.08650969600913
59,3190.527640953806,4097.683994134877,5.888218487842339,4124.2366419261425,5333.970030293255,7.1443925860746065
60,3184.6372758325574,4084.5304674960357,5.8755216334404174,4101.9480656745145,5308.069452740656,7.105981011977371
61,3215.5588897962984,4115.041708372732,5.936919393071262,4132.571914299613,5360.641244206222,7.1535640189598295
62,3226.948209096211,4119.830476141721,5.956457272271605,4168.326423809868,5388.708748272977,7.2045502032074475
63,3259.835464170394,4181.363798825494,6.00789124323681,4239.6505403581305,5482.325839679692,7.3321182031603716
64,3222.672958768669,4129.347081781327,5.955265547133994,4182.576268580041,5412.088826171589,7.2473582990313705
65,3237.389208829843,4155.055972009014,5.9685613020761865,4224.707068772062,5458.436070989778,7.297757944332488
66,3214.809686753262,4136.805406094148,5.923186191122724,4209.813675689604,5453.419700772626,7.259168236612314
67,3210.8219058241143,4125.469707527741,5.923057103770215,4171.451673558502,5408.338669240774,7.19074706152119
68,3205.3898222535117,4109.606753476688,5.906178166913062,4193.3217532410235,5433.420359136535,7.226197193705739
69,3234.035937690849,4135.571779083749,5.978110688165246,4166.375019360706,5407.699583774756,7.176698065868395
70,3249.6673714849226,4150.872167781671,6.006489902260539,4164.2079381271515,5391.25677283986,7.173311582932215
71,3271.3118882194067,4171.745686836005,6.049148528726078,4135.005476426687,5356.2102018852265,7.091495786329139
72,3300.6799661720147,4208.613616408724,6.09760831603285,4236.396034873753,5469.103963871151,7.237150056217061
